background,x,y,green,BIO03,BIO06,wo,rivers,fla,soc,roads
background,473384.9838,4436576.1748,0.0945620611310005,38.3880500793457,5.6194863319397,-9999,60.0018920898438,1406.26037597656,22.9429302215576,144.14714050293
background,473434.9838,4435276.1748,0.0894182994961739,38.4927978515625,5.63628768920898,1,108.064514160156,1653.57641601562,12.1494274139404,445.863677978516
background,473484.9838,4433276.1748,0.0970879942178726,39.534351348877,5.55314874649048,-9999,49.5457801818848,2358.2958984375,21.2051563262939,225.180435180664
background,473484.9838,4434826.1748,0.0922714620828629,38.3329696655273,5.65871238708496,1,85.8392181396484,3027.18188476562,21.5570373535156,249.353088378906
background,473484.9838,4439076.1748,0.095221109688282,37.3370895385742,5.36641120910645,-9999,111.682205200195,224.131591796875,12.0542240142822,899.282043457031
background,473534.9838,4434876.1748,0.10520675778389,38.1726684570312,5.65838384628296,1,155.397933959961,2034.85632324219,21.9301738739014,215.931030273438
background,473534.9838,4435626.1748,0.0836291685700417,38.3574485778809,5.63450288772583,1,13.0419263839722,2655.47241210938,15.3602495193481,124.158843994141
background,473584.9838,4433826.1748,0.0928999930620193,39.0566635131836,5.61719703674316,1,42.2017593383789,2231.15869140625,22.3109245300293,83.4415969848633
background,473584.9838,4434326.1748,0.102148920297623,38.5178070068359,5.66265678405762,1,115.471481323242,1771.88635253906,20.2353248596191,184.652267456055
background,473634.9838,4434126.1748,0.0955425128340721,38.716667175293,5.6515007019043,1,32.6040687561035,1052.38525390625,22.6565761566162,145.392593383789
background,473684.9838,4434476.1748,0.119306921958923,38.4002838134766,5.66522073745728,1,213.530548095703,8991.9208984375,19.9583759307861,121.813888549805
background,473684.9838,4434726.1748,0.112810708582401,38.2507247924805,5.65900230407715,1,232.281768798828,2850.81005859375,21.4547443389893,75.2073287963867
background,473734.9838,4436076.1748,0.0896854549646378,38.4836235046387,5.62318754196167,1,28.2328147888184,2594.314453125,25.0905418395996,65.3462753295898
background,473734.9838,4436776.1748,0.107124648988247,38.0146560668945,5.59840536117554,1,94.1190490722656,1654.01025390625,24.3627452850342,189.576843261719
background,473784.9838,4433326.1748,0.0911460593342781,38.7913131713867,5.45478057861328,1,277.628143310547,1407.04284667969,21.5900859832764,103.287216186523
background,473784.9838,4433876.1748,0.0911548361182213,39.0211715698242,5.61472702026367,1,42.4344787597656,2739.21484375,22.6819305419922,207.069564819336
background,473784.9838,4436876.1748,0.098759263753891,37.8426551818848,5.58490419387817,1,143.253524780273,979.606201171875,23.8944282531738,145.842391967773
background,473784.9838,4437376.1748,0.107388816773891,37.4023818969727,5.56249332427979,1,444.212066650391,3493.61401367188,22.7900085449219,60.319221496582
background,473784.9838,4439126.1748,0.0912105962634087,37.2189102172852,5.32977485656738,1,145.247863769531,1775.20727539062,28.2200374603271,615.062805175781
background,473884.9838,4436726.1748,0.09438556432724,38.1476058959961,5.58215188980103,1,37.8849716186523,3922.66552734375,23.8787136077881,61.0696487426758
background,473884.9838,4437326.1748,0.101514987647533,37.3876953125,5.5586462020874,1,332.941925048828,6979.54345703125,23.493371963501,51.8088569641113
background,473934.9838,4433576.1748,0.0975948646664619,38.5859146118164,5.62357568740845,1,334.319885253906,3073.63159179688,22.6126461029053,53.9778938293457
background,473934.9838,4433676.1748,0.09800735861063,38.5930976867676,5.64935636520386,1,239.277099609375,9337.453125,22.874662399292,105.262001037598
background,473934.9838,4435576.1748,0.0994390919804573,37.8249092102051,5.63188314437866,1,98.9161224365234,768.2412109375,26.0705146789551,42.2678070068359
background,473984.9838,4433076.1748,0.117356956005096,38.3645324707031,5.44900608062744,1,546.22216796875,2319.923828125,22.1909427642822,54.8762435913086
background,473984.9838,4435376.1748,0.102365203201771,37.9122886657715,5.6428337097168,1,72.5814437866211,9923.4638671875,26.741304397583,103.430503845215
background,474034.9838,4434776.1748,0.112601488828659,38.0604820251465,5.64155006408691,1,450.711853027344,4131.9755859375,19.7048492431641,167.332183837891
background,474034.9838,4437426.1748,0.108064107596874,37.3256874084473,5.64450311660767,1,265.813140869141,4453.02734375,26.6833839416504,116.543495178223
background,474084.9838,4433076.1748,0.0955725908279419,38.2712364196777,5.44388818740845,1,635.764038085938,1369.31555175781,22.194055557251,82.3595199584961
background,474084.9838,4434526.1748,0.104137025773525,38.2380867004395,5.64876127243042,1,277.177215576172,1952.38244628906,19.4217681884766,231.932769775391
background,474084.9838,4438926.1748,0.106490224599838,37.0635871887207,5.3229775428772,1,505.073791503906,2973.69750976562,28.4657363891602,292.993988037109
background,474134.9838,4434376.1748,0.105130575597286,38.2770462036133,5.65620517730713,1,190.937744140625,1315.50744628906,20.1158142089844,191.537445068359
background,474134.9838,4438876.1748,0.107621558010578,37.0629768371582,5.32684135437012,1,573.967956542969,3211.2333984375,28.681827545166,254.557037353516
background,474134.9838,4439576.1748,0.107868559658527,37.2761154174805,5.21641063690186,1,207.646835327148,7680.3017578125,25.7420654296875,578.480407714844
background,474184.9838,4432876.1748,0.092318132519722,38.4076690673828,5.43896818161011,1,492.990753173828,1104.990234375,23.473705291748,257.455444335938
