background,x,y,green,BIO03,BIO06,wo,rivers,fla,soc,roads
background,473384.9838,4436576.1748,0.0945620611310005,38.3880500793457,5.6194863319397,-9999,60.0018920898438,1406.26037597656,22.9429302215576,144.14714050293
background,473434.9838,4435276.1748,0.0894182994961739,38.4927978515625,5.63628768920898,1,108.064514160156,1653.57641601562,12.1494274139404,445.863677978516
background,473484.9838,4433276.1748,0.0970879942178726,39.534351348877,5.55314874649048,-9999,49.5457801818848,2358.2958984375,21.2051563262939,225.180435180664
background,473484.9838,4439076.1748,0.095221109688282,37.3370895385742,5.36641120910645,-9999,111.682205200195,224.131591796875,12.0542240142822,899.282043457031
background,473534.9838,4434876.1748,0.10520675778389,38.1726684570312,5.65838384628296,1,155.397933959961,2034.85632324219,21.9301738739014,215.931030273438
background,473534.9838,4435176.1748,0.0909739509224892,38.287052154541,5.64961433410645,1,38.8539886474609,631.568298339844,21.3804912567139,436.971405029297
background,473534.9838,4435626.1748,0.0836291685700417,38.3574485778809,5.63450288772583,1,13.0419263839722,2655.47241210938,15.3602495193481,124.158843994141
background,473584.9838,4433826.1748,0.0928999930620193,39.0566635131836,5.61719703674316,1,42.2017593383789,2231.15869140625,22.3109245300293,83.4415969848633
background,473584.9838,4434326.1748,0.102148920297623,38.5178070068359,5.66265678405762,1,115.471481323242,1771.88635253906,20.2353248596191,184.652267456055
background,473584.9838,4435426.1748,0.0876344665884972,37.9756317138672,5.66296434402466,1,158.945358276367,1665.62133789062,18.8224430084229,236.239700317383
background,473634.9838,4434126.1748,0.0955425128340721,38.716667175293,5.6515007019043,1,32.6040687561035,1052.38525390625,22.6565761566162,145.392593383789
background,473684.9838,4434476.1748,0.119306921958923,38.4002838134766,5.66522073745728,1,213.530548095703,8991.9208984375,19.9583759307861,121.813888549805
background,473684.9838,4436226.1748,0.090508759021759,38.4680252075195,5.62219858169556,-9999,29.6474056243896,1900.3515625,24.078742980957,173.396499633789
background,473734.9838,4433276.1748,0.104972712695599,38.9898834228516,5.44983196258545,1,236.948837280273,1988.24853515625,21.5275115966797,115.59578704834
background,473734.9838,4436076.1748,0.0896854549646378,38.4836235046387,5.62318754196167,1,28.2328147888184,2594.314453125,25.0905418395996,65.3462753295898
background,473734.9838,4436776.1748,0.107124648988247,38.0146560668945,5.59840536117554,1,94.1190490722656,1654.01025390625,24.3627452850342,189.576843261719
background,473784.9838,4433326.1748,0.0911460593342781,38.7913131713867,5.45478057861328,1,277.628143310547,1407.04284667969,21.5900859832764,103.287216186523
background,473784.9838,4435276.1748,0.0960217490792274,38.0243377685547,5.65191078186035,1,51.4300155639648,1685.15588378906,25.5168628692627,284.225891113281
background,473784.9838,4437376.1748,0.107388816773891,37.4023818969727,5.56249332427979,1,444.212066650391,3493.61401367188,22.7900085449219,60.319221496582
background,473784.9838,4439126.1748,0.0912105962634087,37.2189102172852,5.32977485656738,1,145.247863769531,1775.20727539062,28.2200374603271,615.062805175781
background,473884.9838,4436726.1748,0.09438556432724,38.1476058959961,5.58215188980103,1,37.8849716186523,3922.66552734375,23.8787136077881,61.0696487426758
background,473884.9838,4437326.1748,0.101514987647533,37.3876953125,5.5586462020874,1,332.941925048828,6979.54345703125,23.493371963501,51.8088569641113
background,473934.9838,4433576.1748,0.0975948646664619,38.5859146118164,5.62357568740845,1,334.319885253906,3073.63159179688,22.6126461029053,53.9778938293457
background,473934.9838,4433676.1748,0.09800735861063,38.5930976867676,5.64935636520386,1,239.277099609375,9337.453125,22.874662399292,105.262001037598
background,473934.9838,4435576.1748,0.0994390919804573,37.8249092102051,5.63188314437866,1,98.9161224365234,768.2412109375,26.0705146789551,42.2678070068359
background,473984.9838,4433076.1748,0.117356956005096,38.3645324707031,5.44900608062744,1,546.22216796875,2319.923828125,22.1909427642822,54.8762435913086
background,473984.9838,4435376.1748,0.102365203201771,37.9122886657715,5.6428337097168,1,72.5814437866211,9923.4638671875,26.741304397583,103.430503845215
background,474034.9838,4434776.1748,0.112601488828659,38.0604820251465,5.64155006408691,1,450.711853027344,4131.9755859375,19.7048492431641,167.332183837891
background,474034.9838,4437426.1748,0.108064107596874,37.3256874084473,5.64450311660767,1,265.813140869141,4453.02734375,26.6833839416504,116.543495178223
background,474084.9838,4433076.1748,0.0955725908279419,38.2712364196777,5.44388818740845,1,635.764038085938,1369.31555175781,22.194055557251,82.3595199584961
background,474084.9838,4434076.1748,0.0929479822516441,38.6704177856445,5.63363218307495,1,11.7354297637939,4442.83251953125,21.116662979126,241.357345581055
background,474084.9838,4438926.1748,0.106490224599838,37.0635871887207,5.3229775428772,1,505.073791503906,2973.69750976562,28.4657363891602,292.993988037109
background,474134.9838,4434376.1748,0.105130575597286,38.2770462036133,5.65620517730713,1,190.937744140625,1315.50744628906,20.1158142089844,191.537445068359
background,474134.9838,4439576.1748,0.107868559658527,37.2761154174805,5.21641063690186,1,207.646835327148,7680.3017578125,25.7420654296875,578.480407714844
background,474184.9838,4432876.1748,0.092318132519722,38.4076690673828,5.43896818161011,1,492.990753173828,1104.990234375,23.473705291748,257.455444335938
