species,X,Y,BIO03,green,BIO06,fla,wo,roads,soc,rivers
Phytophthora_PA2_RUN8,474499.178838266,4432955.58603606,39.1920166015625,0.114505395293236,5.40855836868286,1534.50854492188,1,229.750854492188,22.834156036377,276.258941650391
Phytophthora_PA2_RUN8,478371.81527373,4438053.24765695,38.0157470703125,0.0913795009255409,5.15892028808594,436.701477050781,1,57.0641784667969,23.3845844268799,100.149169921875
Phytophthora_PA2_RUN8,478507.926276113,4430873.63775283,40.5365028381348,0.120904065668583,5.17481708526611,614.510986328125,1,159.216125488281,18.5730171203613,72.6750335693359
Phytophthora_PA2_RUN8,474628.990813098,4433971.15024905,38.1867866516113,0.101493045687675,5.42036104202271,2356.20727539062,1,26.1990718841553,22.5782527923584,337.181701660156
Phytophthora_PA2_RUN8,477850.394008106,4435255.02371902,38.0189819335938,0.103094428777695,5.16431999206543,1614.73107910156,1,28.6867122650146,24.5648574829102,334.561553955078
Phytophthora_PA2_RUN8,477499.819534493,4433530.09478197,38.2939758300781,0.119949489831924,5.29651689529419,3149.06518554688,1,62.8898963928223,22.7740840911865,323.186492919922
Phytophthora_PA2_RUN8,481584.016022811,4433922.88752311,38.6821594238281,0.104206822812557,5.23101139068604,1727.44104003906,1,17.7489566802979,21.5896778106689,332.591186523438
Phytophthora_PA2_RUN8,477478.774392465,4430367.01775964,41.4257965087891,0.119099110364914,5.10371589660645,3470.66040039062,1,135.313491821289,20.1627216339111,32.485294342041
Phytophthora_PA2_RUN8,478664.499375238,4431013.90701039,40.5647087097168,0.129325270652771,5.1779146194458,2107.43017578125,1,67.7574768066406,19.0576858520508,62.5394020080566
Phytophthora_PA2_RUN8,477440.34325499,4435066.75039237,38.0658912658691,0.115246400237083,5.18690776824951,3934.23559570312,1,326.222442626953,24.1829414367676,511.536468505859
Phytophthora_PA2_RUN8,473805.036298005,4434472.10105186,38.3955535888672,0.122840315103531,5.66442537307739,7170.04931640625,1,97.9049758911133,19.3374900817871,140.911514282227
Phytophthora_PA2_RUN8,477513.339835345,4430321.98176289,41.4387550354004,0.100332856178284,5.09655094146729,20940.203125,1,173.481918334961,20.1145648956299,15.770058631897
Phytophthora_PA2_RUN8,475751.494564062,4435485.3597763,38.0909957885742,0.0974275395274162,5.52321815490723,1633.77038574219,1,80.1820678710938,22.8868732452393,335.651672363281
Phytophthora_PA2_RUN8,477624.034953912,4431106.22442181,40.3374176025391,0.119907572865486,5.23203325271606,1666.32885742188,1,484.859344482422,17.9920692443848,49.1503524780273
Phytophthora_PA2_RUN8,476801.644926592,4434768.70983185,38.1902847290039,0.0991013422608376,5.22919988632202,2132.0390625,1,67.7143707275391,21.6373805999756,222.472351074219
Phytophthora_PA2_RUN8,479679.272962021,4433069.73710096,39.3083038330078,0.115103274583817,5.27065896987915,3017.27319335938,1,153.961898803711,23.3786392211914,123.361717224121
Phytophthora_PA2_RUN8,478624.753504868,4431595.33966863,40.3373374938965,0.11369052529335,5.21041345596313,19094.33203125,1,21.8289909362793,20.05495262146,19.3217334747314
Phytophthora_PA2_RUN8,477317.102137586,4432161.03871947,38.8482513427734,0.142442256212234,5.32648801803589,1219.05529785156,1,93.9924468994141,21.3369445800781,249.783447265625
Phytophthora_PA2_RUN8,477331.268557614,4430851.82827333,40.9492568969727,0.142524749040604,5.14759302139282,1660.96398925781,1,187.008178710938,17.6386070251465,93.3234252929688
Phytophthora_PA2_RUN8,483105.818653542,4434799.14261903,38.4300651550293,0.115244671702385,5.03531551361084,1134.91455078125,1,25.9007701873779,22.1551914215088,349.1318359375
Phytophthora_PA2_RUN8,477411.101161117,4431327.73178646,40.0172348022461,0.110544241964817,5.26906585693359,251.449508666992,1,261.837493896484,18.0148448944092,153.659271240234
Phytophthora_PA2_RUN8,474662.217253871,4432829.65291504,39.922290802002,0.113195419311523,5.34708023071289,1546.06579589844,1,13.8510837554932,21.3105888366699,78.2502593994141
Phytophthora_PA2_RUN8,474595.68047004,4434948.17526879,38.0820693969727,0.108942776918411,5.62024593353271,17527.412109375,1,8.11342525482178,20.5521373748779,326.768127441406
Phytophthora_PA2_RUN8,482944.330773145,4433965.7794145,38.2235145568848,0.0982322618365288,5.13485956192017,2113.72021484375,1,98.6389770507812,23.5200328826904,871.109008789062
